,check,id,Kalimat,Sentimen Manusia,Sentiment,Confidences,Kalimat utuh,Typo,Slang Word,Mix Languange,Ambigu,Cuma kata,Terlalu Panjang,Sarkas/Satire
28,True,28,Tak sudi aku tinggal di gubuk reyot ini. Mana banyak nyamuk lagi!,negative,negative,0.9868099689483643,True,False,False,False,False,False,False,True
29,True,29,Dia hanyalah sampah masyarakat yang tak berguna!,negative,negative,0.9959154725074768,True,False,False,False,False,False,False,True
30,True,30,Dalam musyawarah itu menghasilkan lima kesepakatan yang harus dipatuhi bersama,positive,neutral,0.9685830473899841,False,False,False,False,False,False,False,False
31,True,31,"Produk kami memang murah, tapi bisa bersaing dengan produk pesaing",positive,positive,0.989007830619812,True,False,False,False,False,False,False,False
32,True,32, Dapatkan potongan biaya kirim Rp.10.000 untuk pembelian minuman Rp.50.000,positive,neutral,0.9948258996009827,True,False,False,False,False,False,False,False
33,True,33,Setiap pembelian minuman minimal Rp100 ribu dapatkan 1 voucher yang bisa dituker dengan 1 merchandise dari kita.,positive,neutral,0.9888827204704285,True,False,False,True,False,False,False,False
34,True,34,Dapatkan harga khusus dari kami jika Anda beli satu kardus kerupuk hari ini.,positive,neutral,0.9753215312957764,True,False,False,False,False,False,False,False
35,True,35,Gelas cantik edisi khusus ini bisa kamu dapatkan hanya dengan membeli menu paket besar senilai Rp150 ribu,positive,neutral,0.8338794708251953,True,False,False,False,False,False,False,False
36,True,36,Dapatkan paket perawatan kulit terlengkap dari pagi hingga sore hanya dengan biaya sebesar Rp 115.000 saja,positive,neutral,0.8619654178619385,True,False,False,False,False,False,False,False
37,True,37,Otakmu itu sudah bukan otak manusia lagi. Otakmu itu sudah jadi otak udang!,negative,negative,0.995909571647644,True,False,False,False,False,False,False,True
38,True,38,"Jika Anda tidak puas dengan produk kami, Anda akan mendapat garansi uang kembali",neutral,neutral,0.8071998357772827,True,False,False,False,False,False,False,False
39,True,39,"Jika Anda mendaftar sekarang, Anda akan mendapatkan penawaran eksklusif saat ini juga",negative,neutral,0.9775294065475464,True,False,False,False,False,False,False,False
40,True,40,Saya memutuskan untuk tetap netral dalam pemilihan umum kali ini,neutral,neutral,0.9420716166496277,True,False,False,False,False,False,False,False
41,True,41,Sopan sekali pakaian yang kamu kenakan hingga aku merasa malu melihatnya,negative,negative,0.9268276691436768,True,False,False,False,False,False,False,True
42,True,42,Saya sangat suka dengan penawaran produk asuransi tersebut saya berminat untuk bergabung,positive,positive,0.951948881149292,True,False,False,False,False,False,False,False
43,True,43,Maaf tetapi saya tidak tertarik bergabung dengan asuransi sama sekali,negative,negative,0.9894574284553528,True,False,False,False,False,False,False,False
44,True,44,"Saya disini ingin menawarkan produk asuransi kesehatan, apakah ibu memiliki waktu?",neutral,neutral,0.9959601759910583,True,False,False,False,False,False,False,False
45,True,45,"Honestly, aku kemarin pigi shopping sama bestie.",positive,neutral,0.9212340712547302,True,True,True,True,False,False,False,False
46,True,46,Saya menelepon untuk memberitahukan kalau perusahaan kami ingin menawarkan beberapa polis yang bisa bapak dapatkan secara gratis.,neutral,neutral,0.9969303011894226,True,False,False,False,False,False,False,False
47,True,47,"Saya sudah punya asuransi yang saya beli sekaligus saat membeli mobil. Jadi, maaf saya tidak tertarik.",negative,neutral,0.9932829141616821,True,False,False,False,False,False,False,False
48,True,48, Saya lebih suka berinvestasi dalam produk asuransi yang lainnya karena saya masih punya banyak waktu dan masih muda. Rasanya masih belum butuh asuransi kesehatan.,negative,positive,0.99355548620224,True,False,False,False,False,False,False,False
49,True,49,Saya ingin membuka rekening bank bagaimana caranya ya?,neutral,neutral,0.9945888519287109,True,False,False,False,False,False,False,False
50,True,50,"Saya sering mendengar hal buruk tentang asuransi, jadi saya takut untuk bergabung",negative,negative,0.9822558164596558,True,False,False,False,False,False,False,False
51,True,51,"Tanpa diduga, tiba-tiba dia melempar senyumnya padaku",positive,neutral,0.6516224145889282,True,False,False,False,True,False,False,False
52,True,52,Bicarakan Kebutuhan Asuransi Anda dengan Kami!,neutral,neutral,0.9910538792610168,True,False,False,False,False,False,False,False
53,True,53,Riana sedang pergi ke taman hiburan flora dan fauzan untuk liburan keluarga,positive,neutral,0.9962918758392334,True,True,False,False,False,True,False,False
54,True,54,"Oks, mau pergi kemans",positive,negative,0.9525023102760315,True,False,True,False,False,False,False,False
55,True,55,Anak muda yang misterius itu ternyata ingin mendaftar insuransi kesehatan,neutral,neutral,0.9967690706253052,True,False,False,False,True,False,False,False
56,True,56,Saya ingin mendaftar bank dan tidak ingin menggunakan perbankan mobile,neutral,neutral,0.9905431866645813,True,False,False,False,False,False,False,False
57,True,57,"Selamat sore, maaf apakah Ibu mempunyai rekening atm atau tidak?",positive,neutral,0.9961925745010376,True,False,False,False,False,False,False,False
58,True,58,"Bapak mau membeli hp, tadi ke toko awal bagus bagus banget tapi buat di toko ini jelek semuanya",negative,negative,0.9970924854278564,True,False,False,False,False,False,False,False
59,True,59,"bro gua mau buat rekening baru ke bank nih, tapi sans aja gausah buru buru juga",positive,neutral,0.9882690906524658,True,True,True,False,False,False,False,False
60,True,60,"Biaya admin untuk rekening bank tersebut tidak terlalu mahal, lumayan lah",neutral,positive,0.9935517311096191,True,False,True,False,False,False,False,False
61,True,61,Ferry bekerja sebagai sales bank dan menawarkan pendaftaran rekening bank dengan iming iming mendapatkan uang ,positive,neutral,0.9688591361045837,True,False,True,False,False,False,False,False
62,True,62,Anita pergi ke bank karena ingin memperbaiki atm yang terblokir,neutral,neutral,0.9885607361793518,True,False,False,False,False,False,False,False
63,True,63,Zara ketika berjalan di sebuah mall diberhentikan sales karena dipaksa untuk mendengar penawaran,negative,neutral,0.7842375636100769,True,False,False,False,True,False,False,False
64,True,64,"Hendra ada task yang penting hari ini, jadi buat nasabah ini biar saya aja yang handle masalahnya",positive,neutral,0.9749636650085449,True,False,True,True,False,False,False,False
65,True,65,Bro lookit gua dong. Kira kira baju gua gimana hari ini?,neutral,neutral,0.9037736058235168,True,False,True,False,False,False,False,False
66,True,66,"Eh nad, ada waktu free ga nanti malam?",neutral,neutral,0.9907209873199463,True,False,True,True,False,False,False,False
67,True,67,"Maaf mbak ini untuk biayanya, “Program “Happy English” tersedia dalam 3 paket, yaitu paket A dengan rincian biaya Rp. 1.800.000 untuk untuk 8 kali pertemuan, sudah termasuk seragam, modul, peralatan tulis dan snack, paket B dengan rincian biaya Rp. 4.800.000 untuk 24 kali pertemuan, sudah termasuk seragam, modul, alat tulis dan snack, terakhir ada paket C seharga Rp. 7.500.000 untuk 48 kali pertemuan sudah termasuk seragam, modul, alat tulis, snack, dan biaya outbound di akhir program",positive,neutral,0.863857090473175,True,False,False,True,False,False,True,False
68,True,68,Rama sedang melakukan proses transaksi jual beli dengan calon penjual hp secara cod hari ini,positive,neutral,0.9979618787765503,True,False,False,False,False,False,False,False
69,True,69,Anisah menjadi teller bank dan mengalami kejadian mengerikan yaitu kekurangan uang nasabah sebesar 200.000 kemarin sore,neutral,negative,0.8357902765274048,True,False,False,True,True,False,False,False
70,True,70,Aku pergi ke bank hari ini,positive,neutral,0.9928528666496277,True,False,False,False,False,False,False,False
71,True,71,"Tadi pagi ada sales menghubungi aku, mereka menawarkan tabungan yang sama dengan deposito",positive,neutral,0.9970064759254456,True,False,False,False,False,False,False,False
72,True,72,Customer service bank membantu nasabah yang ingin membuka tabungan rekening bank ,positive,neutral,0.9960809350013733,True,False,False,True,False,False,False,False
73,True,73,Jingga membaca berita yang popular hari ini tentang perkembangan ekonomi indonesia ,positive,neutral,0.9735836386680603,True,False,False,False,False,False,False,False
74,True,74,Saya menghubungi salah satu pihak asuransi mobil untuk claim tetapi respond mereka sangat brengsek sekali,negative,negative,0.9969674944877625,True,False,False,True,False,False,False,False
75,True,75,"Mas, untuk netflix harganya sebesar 42.000 bisa di transfer melalui mbanking ya",positive,neutral,0.9967401623725891,True,False,False,False,False,False,False,False
76,True,76,"Asuransi itu kontraknya panjang ya, aku nggak yakin bisa komitmen selama itu",negative,negative,0.9818226099014282,True,False,False,False,False,False,False,False
77,True,77,Apa kabar?,positive,neutral,0.7847006320953369,False,False,False,False,False,False,False,False
78,True,78,Bapak mau mendepositkan cash atau check?,positive,neutral,0.997189462184906,False,False,False,False,False,False,False,False
79,True,79,"Pak, uang hari ini mau dimasukkan ke rekening yang mana?",positive,neutral,0.9620786309242249,True,False,False,False,False,False,False,False
80,True,80,Andi mengambil nomor antrian saat ingin mendaftar bank kemarin pagi,positive,neutral,0.9979908466339111,True,False,False,False,False,False,False,False
81,True,81,Kiki mendatangi bank untuk transfer ke rekening yang sama hari ini,positive,neutral,0.9982477426528931,True,False,False,False,False,False,False,False
82,True,82,Lydia membantu nasabah yang ingin menghubungkan ke mobile banking,positive,neutral,0.9970622658729553,True,False,False,False,False,False,False,False
83,True,83,Kamu tidak membantu nasabah dengan benar kemarin,negative,negative,0.9956614375114441,True,False,False,False,False,False,False,False
84,True,84,"Dia melakukan kesalahan yang paling buruk, tidak bisa dimaafkan",negative,negative,0.994856595993042,True,False,False,False,False,False,False,False
85,True,85,Bank officer staff mendatangi nasabah yang mengalami masalah saat pembukaan rekening hari ini,positive,neutral,0.9969518184661865,True,False,False,False,False,False,False,False
86,True,86,Bank Officer Andre yang gemuk itu tidak bisa datang hari ini,negative,negative,0.9584542512893677,True,False,False,False,True,False,False,False
87,True,87,Anjing menggongong ketika ada orang asing di depan rumah ,positive,negative,0.9807687401771545,True,False,False,False,False,False,False,False
88,True,88,Satpam memberikan informasi kepada nasabah di bank,positive,neutral,0.9930282235145569,True,False,False,False,False,False,False,False
89,True,89,Kegagalan proyek itu karena perancangan yang tidak mantap,negative,negative,0.9925365447998047,False,False,False,False,False,False,False,False
90,True,90,Kegagalan mendapatkan konsumen itu karena persiapan yang tidak matang,negative,negative,0.9942637085914612,False,False,False,False,False,False,False,False
91,True,91,Kegagalan proyek itu terjadi karena perancangan yang tidak mantap,negative,negative,0.9864065051078796,True,False,False,False,False,False,False,False
92,True,92,Kegagalan mendapatkan konsumen itu terjadi karena persiapan yang tidak matang,negative,negative,0.9883422255516052,True,False,False,False,False,False,False,False
93,True,93,"Kau tak pernah diajari cara mengucapkan terima kasih ya? Kamu sudah dia bantu, tapi kamu malah mengabaikan dia",negative,negative,0.9859223365783691,True,False,False,False,False,False,False,True
94,True,94,Tukang parkir itu apa tidak melihatku yang berada di depannya? Apa dia buta? Aku membutuhkan pertolongan,negative,negative,0.9708548188209534,False,False,False,False,False,False,False,True
95,True,95,Para nasabah itu menunggu giliran untuk di panggil teller bank,neutral,neutral,0.9909421801567078,True,False,False,False,False,False,False,False
96,True,96,Karyawan perusahaan ekonomi membuat aplikasi transaksi pembayaran tahun lalu,positive,neutral,0.9975327253341675,True,False,False,False,False,False,False,False
97,True,97,Dafa melakukan hiking di pegunungan rinjani dan bertemu babi hutan ganas sore hari,neutral,neutral,0.9726355075836182,True,False,False,True,False,False,False,False
98,True,98,"Ibu nurul, saya minta kesediaan waktu ibu untuk menjelaskan produk kami. Di bank XYZ, kami memiliki 3 produk tabungan, yaitu Tabungan Premium, Tabungan Silver dan yang satu lagi adalah dari program pemerintah yaitu Tabungan Ku. Hanya dengan Rp.300.000 Ibu Nurul sudah bisa membuka rekening Tabungan premium. Untuk setoran tunai berikutnya minimal Rp. 50.000 Ibu Nurul bisa melakukan secara online di seluruh Cabang/Capem/Kantor Kas Bank XYZ. Sedangkan untuk Tabungan Silver setoran awal min. Rp. 100.000,-, dan Tabungan Ku dengan setoran awal Rp. 20.000. Selain itu, dengan menggunakan kartu ATM Bank XYZ, Ibu Nurul dapat melakukan berbagai macam transaksi. Untuk transaksi financial, Ibu Nurul dapat melakukan tarik tunai, transfer antar bank atau antar rekening Bank XYZ. Untuk transaksi non financial, Ibu Nurul dapat melakukan cek saldo dan informasi mutasi rekening. Sekarang, Ibu Nurul tidak perlu repot untuk melakukan pembayaran tagihan bulanan, seperti tagihan listrik, telpon, premi asuransi, pembayaran polyja atau aetra. Semuanya dapat Ibu lakukan dengan menggunakan kartu ATM Bank XYZ. Dan juga Ibu Nurul dapat melakukan pembelanjaan isi ulang pulsa, pembelian tiket perjalanan, dan tiket Blitzmegaplex. Selain menggunakan ATM Bank XYZ, Ibu Nurul dapat melakukan pengecekan saldo rekening atau mutasi rekening Ibu melalui Call Center Bank XYZ 24 jam di nomor 500351. Selain itu, jika ibu Nurul mengalami kejadian yang tidak diinginkan seperti kartu ATM hilang atau tertelan, saldo terdebet atau ada permasalahan dengan rekening Ibu, Ibu Nurul juga dapat menghubungi call center Bank XYZ untuk penanganan yang lebih cepat. Jika Ibu Nurul sudah mengerti dan setuju tentang fitur dan biaya dari produk yang Ibu pilih maka silahkan untuk mengisi formulir pembukaan rekening.
",positive,neutral,0.9488092064857483,False,False,False,False,False,False,True,False
99,True,99,Para peserta trekking jika menemukan bagas atau babi ganas di jalur pendakian gunung salak harap berlindung di pohon,positive,neutral,0.829412043094635,True,False,False,False,True,False,False,False
100,True,100,Hutao mendaftar rekening bank dengan sales di mall,positive,neutral,0.997684121131897,True,False,False,False,False,False,False,False
